District,Weighted income
SUPERVISORIAL DISTRICT 1,75689.364
SUPERVISORIAL DISTRICT 2,83469.544
SUPERVISORIAL DISTRICT 3,61414.347
SUPERVISORIAL DISTRICT 4,71624.308
SUPERVISORIAL DISTRICT 5,74454.421
SUPERVISORIAL DISTRICT 6,56264.31
SUPERVISORIAL DISTRICT 7,82299.439
SUPERVISORIAL DISTRICT 8,82654.537
SUPERVISORIAL DISTRICT 9,73234.312
SUPERVISORIAL DISTRICT 10,65274.345
SUPERVISORIAL DISTRICT 11,62424.258
