,1,2,3,4,5,6,7,8,9,10,11
10000,6.4,3.7,12.9,6,5.8,12.4,4,5.3,4.1,10,9.5
24999,11.8,10.6,23.1,15.5,16.7,28.3,8,8.1,15.3,19.7,21.7
49999,19.4,10.3,19.1,22.7,15.6,22.5,16,12.8,23.2,21.9,25.5
99999,32.4,24.7,23.1,31,25.6,18.2,32.1,25.4,30.3,23.9,27
100000,30,50.6,21.7,24.8,36.3,18.5,39.8,48.3,27.1,24.5,16.3
