zip code,weighted income
94102,40714
94103,29961
94104,32777
94105,5000
94107,54687
94108,58117
94109,28879
94110,40940
94111,41856
94112,55000
94114,33803
94115,49326
94116,47169
94117,43008
94118,51250
94121,42315
94122,39701
94123,39710
94124,51548
94127,30297
94129,49857
94130,50666
94131,28571
94132,55109
94133,41791
94134,40724
